VGS,VDS,freq,real_Y_2_1___0_0____
-1.8,2.3,1000000000,1.51175097279692e-07
-1.8,2.4,1000000000,1.52922620062771e-07
-1.8,2.5,1000000000,1.54632364160761e-07
-1.8,2.6,1000000000,1.56305328532023e-07
-1.8,2.7,1000000000,1.57942277391189e-07
-1.8,2.8,1000000000,1.59543798796152e-07
-1.8,2.9,1000000000,1.61110351229102e-07
-1.8,3,1000000000,1.62642300497265e-07
-1.8,3.1,1000000000,1.64139948830843e-07
-1.8,3.2,1000000000,1.6560355769427e-07
-1.8,3.3,1000000000,1.67033365535301e-07
-1.8,3.4,1000000000,1.68429601461198e-07
-1.8,3.5,1000000000,1.69792495641435e-07
-1.8,3.6,1000000000,1.7112228708313e-07
-1.8,3.7,1000000000,1.72419229301712e-07
-1.8,3.8,1000000000,1.73683594309486e-07
-1.8,3.9,1000000000,1.7491567526411e-07
-1.8,4,1000000000,1.76115788053827e-07
-1.8,4.1,1000000000,1.7728427204365e-07
-1.8,4.2,1000000000,1.7842149016408e-07
-1.8,4.3,1000000000,1.79527828489468e-07
-1.8,4.4,1000000000,1.80603695425209e-07
-1.8,4.5,1000000000,1.81649520600296e-07
-1.8,4.6,1000000000,1.82665753543378e-07
-1.8,4.7,1000000000,1.83652862205518e-07
-1.8,4.8,1000000000,1.84611331380684e-07
-1.8,4.9,1000000000,1.85541661065062e-07
-1.8,5,1000000000,1.86444364788208e-07
-1.7,0,1000000000,8.97281086269592e-08
-1.7,0.1,1000000000,9.9985313171705e-08
-1.7,0.2,1000000000,1.08711033105362e-07
-1.7,0.3,1000000000,1.16210820350699e-07
-1.7,0.4,1000000000,1.22727123877085e-07
-1.7,0.5,1000000000,1.28452621854939e-07
-1.7,0.6,1000000000,1.33540658752766e-07
-1.7,0.7,1000000000,1.38113419568584e-07
-1.7,0.8,1000000000,1.42268344955993e-07
-1.7,0.9,1000000000,1.46083180734702e-07
-1.7,1,1000000000,1.4961996582419e-07
-1.7,1.1,1000000000,1.52928192428877e-07
-1.7,1.2,1000000000,1.5604731822947e-07
-1.7,1.3,1000000000,1.5900876909761e-07
-1.7,1.4,1000000000,1.61837539516851e-07
-1.7,1.5,1000000000,1.64553474068605e-07
-1.7,1.6,1000000000,1.67172295163184e-07
-1.7,1.7,1000000000,1.69706428251651e-07
-1.7,1.8,1000000000,1.72165664990536e-07
-1.7,1.9,1000000000,1.74557696468488e-07
-1.7,2,1000000000,1.76888542064663e-07
-1.7,2.1,1000000000,1.79162894365194e-07
-1.7,2.2,1000000000,1.81384396497241e-07
-1.7,2.3,1000000000,1.83555865010138e-07
-1.7,2.4,1000000000,1.85679468858015e-07
-1.7,2.5,1000000000,1.87756872979032e-07
-1.7,2.6,1000000000,1.89789353315515e-07
-1.7,2.7,1000000000,1.91777888793335e-07
-1.7,2.8,1000000000,1.93723234712304e-07
-1.7,2.9,1000000000,1.95625981140485e-07
-1.7,3,1000000000,1.97486599213098e-07
-1.7,3.1,1000000000,1.99305477678532e-07
-1.7,3.2,1000000000,2.01082951583636e-07
-1.7,3.3,1000000000,2.02819324627098e-07
-1.7,3.4,1000000000,2.04514886416391e-07
-1.7,3.5,1000000000,2.06169925627006e-07
-1.7,3.6,1000000000,2.07784739871499e-07
-1.7,3.7,1000000000,2.09359642931516e-07
-1.7,3.8,1000000000,2.10894969881241e-07
-1.7,3.9,1000000000,2.12391080530002e-07
-1.7,4,1000000000,2.13848361530321e-07
-1.7,4.1,1000000000,2.15267227431863e-07
-1.7,4.2,1000000000,2.16648120908502e-07
-1.7,4.3,1000000000,2.17991512342563e-07
-1.7,4.4,1000000000,2.19297898915395e-07
