VGS,VDS,DC_IDS_i_0____
-0.799999999999999,2.3,2.36363403970286e-09
-0.799999999999999,2.4,2.36373403970286e-09
-0.799999999999999,2.5,2.36383403970286e-09
-0.799999999999999,2.6,2.36393403970286e-09
-0.799999999999999,2.7,2.36403403970286e-09
-0.799999999999999,2.8,2.36413403970286e-09
-0.799999999999999,2.9,2.36423403970286e-09
-0.799999999999999,3,2.36433403970286e-09
-0.799999999999999,3.1,2.36443403970286e-09
-0.799999999999999,3.2,2.36453403970286e-09
-0.799999999999999,3.3,2.36463403970286e-09
-0.799999999999999,3.4,2.36473403970286e-09
-0.799999999999999,3.5,2.36483403970286e-09
-0.799999999999999,3.6,2.36493403970286e-09
-0.799999999999999,3.7,2.36503403970286e-09
-0.799999999999999,3.8,2.36513403970286e-09
-0.799999999999999,3.9,2.36523403970286e-09
-0.799999999999999,4,2.36533403970286e-09
-0.799999999999999,4.1,2.36543403970286e-09
-0.799999999999999,4.2,2.36553403970286e-09
-0.799999999999999,4.3,2.36563403970286e-09
-0.799999999999999,4.4,2.36573403970286e-09
-0.799999999999999,4.5,2.36583403970286e-09
-0.799999999999999,4.6,2.36593403970286e-09
-0.799999999999999,4.7,2.36603403970286e-09
-0.799999999999999,4.8,2.36613403970286e-09
-0.799999999999999,4.9,2.36623403970286e-09
-0.799999999999999,5,2.36633403970286e-09
-0.699999999999999,0,2.36132558020947e-09
-0.699999999999999,0.1,2.36143215213475e-09
-0.699999999999999,0.2,2.36153361852949e-09
-0.699999999999999,0.3,2.36163394572638e-09
-0.699999999999999,0.4,2.36173401873387e-09
-0.699999999999999,0.5,2.36183403502405e-09
-0.699999999999999,0.6,2.36193403865888e-09
-0.699999999999999,0.7,2.36203403946992e-09
-0.699999999999999,0.8,2.36213403965088e-09
-0.699999999999999,0.9,2.36223403969127e-09
