time	real(VinPA[1])
4.94999999999999929E-8	-5.01469042237676543E-2
5.00000000000000089E-8	-1.47261713943757666E-1
5.04999999999999982E-8	-2.29964800066188690E-1
5.09999999999999964E-8	-2.90097620801070555E-1
5.15000000000000036E-8	-3.21725249500914146E-1
5.20000000000000018E-8	-3.21725249500913613E-1
5.25000000000000178E-8	-2.90097620801069445E-1
5.30000000000000071E-8	-2.29964800066186958E-1
5.35000000000000053E-8	-1.47261713943755335E-1
5.40000000000000036E-8	-5.01469042237654605E-2
5.45000000000000018E-8	5.18240323954446680E-2
5.49999999999999911E-8	1.48773129153382899E-1
5.54999999999999893E-8	2.31152228704014728E-1
5.60000000000000053E-8	2.90850689527625228E-1
5.65000000000000036E-8	3.21995097430655353E-1
5.70000000000000107E-8	3.21527595660904675E-1
5.75000000000000000E-8	2.89505718736121898E-1
5.79999999999999982E-8	2.29094265236064620E-1
5.85000000000000053E-8	1.46250308345546731E-1
5.90000000000000213E-8	4.91328767174604142E-2
5.95000000000000107E-8	-5.27215501420847943E-2
6.00000000000000000E-8	-1.49468812694428133E-1
6.05000000000000071E-8	-2.31602514608090893E-1
6.10000000000000142E-8	-2.91054404199578842E-1
6.15000000000000124E-8	-3.21987391143730850E-1
6.20000000000000018E-8	-3.21368824265068964E-1
6.25000000000000089E-8	-2.89267577362310213E-1
6.30000000000000071E-8	-2.28845713016677443E-1
6.34999999999999964E-8	-1.46045627970479863E-1
6.40000000000000036E-8	-4.90036535566435383E-2
6.44999999999999929E-8	5.27636613368076723E-2
6.50000000000000000E-8	1.49382137363264800E-1
6.55000000000000071E-8	2.31374670451485187E-1
6.60000000000000053E-8	2.90702336243078108E-1
6.65000000000000036E-8	3.21553404277759114E-1
6.70000000000000018E-8	3.20913012993437885E-1
6.75000000000000000E-8	2.88857391380964756E-1
6.80000000000000160E-8	2.28543709005103013E-1
6.85000000000000053E-8	1.45896731873259045E-1
6.90000000000000036E-8	4.90234700076281982E-2
6.95000000000000107E-8	-5.25919551868257074E-2
7.00000000000000089E-8	-1.49064380942104746E-1
7.05000000000000071E-8	-2.30970084014722543E-1
7.09999999999999787E-8	-2.90324765070398660E-1
7.14999999999999947E-8	-3.21362674195420572E-1
7.20000000000000107E-8	-3.21095588753014960E-1
7.25000000000000000E-8	-2.89597134071385431E-1
7.29999999999999982E-8	-2.29985354245593454E-1
7.35000000000000142E-8	-1.48106496314170966E-1
7.40000000000000124E-8	-5.19526361834357520E-2
7.45000000000000018E-8	4.91397154822583193E-2
7.50000000000000000E-8	1.45491710094633131E-1
7.54999999999999982E-8	2.27809575723605651E-1
7.60000000000000142E-8	2.88194274596347810E-1
7.65000000000000124E-8	3.20898691776755651E-1
7.70000000000000018E-8	3.22869669465467002E-1
7.75000000000000000E-8	2.94023596794659969E-1
7.80000000000000160E-8	2.37231067900135129E-1
7.85000000000000142E-8	1.58015120997048641E-1
7.90000000000000124E-8	6.39958291255755451E-2
7.95000000000000107E-8	-3.58789723236053604E-2
8.00000000000000000E-8	-1.32332013224467970E-1
8.05000000000000071E-8	-2.16321076676578183E-1
8.10000000000000142E-8	-2.80057696648189625E-1
8.14999999999999858E-8	-3.17727808964815717E-1
