time	imag(VinPA[1])
1.45999999999999996E-7	-1.15933611076340171E-1
1.46500000000000030E-7	-1.09789403984919831E-1
1.47000000000000020E-7	-1.08244453705525667E-1
1.47500000000000053E-7	-1.10645755068485863E-1
1.48000000000000020E-7	-1.16011325400059295E-1
1.48500000000000032E-7	-1.23070370856648936E-1
1.48999999999999999E-7	-1.30336719492276432E-1
1.49499999999999988E-7	-1.36208458716563174E-1
1.50000000000000000E-7	-1.39023576010130512E-1
1.50500000000000034E-7	-1.37430412653822054E-1
1.51000000000000001E-7	-1.30368801389497824E-1
1.51499999999999990E-7	-1.17237119641144227E-1
1.52000000000000024E-7	-9.79918900736190324E-2
1.52500000000000036E-7	-7.32009117367309337E-2
1.53000000000000025E-7	-4.40394230642495188E-2
1.53499999999999992E-7	-1.22243480606643451E-2
1.54000000000000004E-7	2.01116993144329870E-2
1.54499999999999971E-7	5.05921545531975703E-2
1.55000000000000004E-7	7.67515553165254971E-2
1.55500000000000016E-7	9.64343981740096901E-2
1.56000000000000028E-7	1.07906848414370193E-1
1.56499999999999995E-7	1.10065217300777518E-1
1.57000000000000028E-7	1.02574012644780344E-1
1.57499999999999996E-7	8.59351325370712082E-2
1.58000000000000029E-7	6.14789667292535036E-2
1.58500000000000041E-7	3.12762540218544771E-2
1.59000000000000030E-7	-2.02209423014224932E-3
1.59500000000000020E-7	-3.53905514046862546E-2
1.60000000000000009E-7	-6.55641227729702081E-2
1.60500000000000043E-7	-8.96394536014612875E-2
1.61000000000000010E-7	-1.05100355745304963E-1
1.61499999999999999E-7	-1.10058742408413002E-1
1.62000000000000033E-7	-1.03399804408376839E-1
1.62500000000000000E-7	-8.48548753144975976E-2
1.62999999999999989E-7	-5.49980876738287705E-2
1.63500000000000023E-7	-1.51710743554542882E-2
1.64000000000000035E-7	3.26527358842352244E-2
1.64499999999999980E-7	8.60470861976286905E-2
1.65000000000000013E-7	1.42283725231192326E-1
1.65500000000000025E-7	1.98699642591387149E-1
1.66000000000000014E-7	2.52714699653582775E-1
1.66500000000000004E-7	3.02036515536679140E-1
1.66999999999999993E-7	3.44770254464853299E-1
1.67500000000000004E-7	3.79482847881442931E-1
1.68000000000000038E-7	4.05223956460758217E-1
1.68500000000000005E-7	4.21510809049179436E-1
1.69000000000000017E-7	4.28287289442549923E-1
1.69500000000000028E-7	4.25874826264326778E-1
1.70000000000000040E-7	4.15007468803212376E-1
1.70500000000000052E-7	3.96502073029188784E-1
1.71000000000000041E-7	3.71440924599903077E-1
1.71499999999999986E-7	3.41092007111965811E-1
1.71999999999999975E-7	3.06891228803898208E-1
1.72500000000000009E-7	2.70426602832329444E-1
1.72999999999999998E-7	2.33415709331247223E-1
1.73500000000000010E-7	1.97667885227628837E-1
1.74000000000000021E-7	1.65024582941386244E-1
1.74499999999999988E-7	1.37257282425129667E-1
1.75000000000000022E-7	1.15782436567768299E-1
1.75499999999999989E-7	1.02041887078020665E-1
1.75999999999999979E-7	9.70364902590064560E-2
1.76499999999999990E-7	1.01250194582050490E-1
1.77000000000000002E-7	1.14543544258817209E-1
1.77500000000000013E-7	1.36087168082630150E-1
1.77999999999999980E-7	1.64350250430844014E-1
1.78500000000000059E-7	1.97154078849580250E-1
1.79000000000000026E-7	2.31793942586861057E-1
1.79499999999999993E-7	2.65236466721465991E-1
1.80000000000000027E-7	2.94491377692804512E-1
1.80500000000000060E-7	3.16487949962803050E-1
1.81000000000000050E-7	3.28628647962351650E-1
1.81500000000000017E-7	3.28992711770324009E-1
1.82000000000000051E-7	3.16544315741529081E-1
1.82499999999999996E-7	2.91266910698686887E-1
1.83000000000000007E-7	2.54204892693454276E-1
1.83500000000000019E-7	2.07402797513463444E-1
1.83999999999999986E-7	1.53742922544785832E-1
1.84499999999999997E-7	9.66816762340422464E-2
1.85000000000000031E-7	3.98122608818772328E-2
1.85499999999999998E-7	-1.31544405390696806E-2
1.86000000000000032E-7	-5.89705250110463286E-2
1.86500000000000021E-7	-9.51408356709131375E-2
1.87000000000000055E-7	-1.20178578629254851E-1
1.87500000000000000E-7	-1.33761935269601362E-1
1.87999999999999989E-7	-1.36771757545136485E-1
1.88500000000000001E-7	-1.31202534218899647E-1
1.89000000000000012E-7	-1.19952194134574763E-1
1.89500000000000002E-7	-1.06503647420773540E-1
1.90000000000000036E-7	-9.44810443837396008E-2
1.90500000000000003E-7	-8.74003785190551419E-2
1.91000000000000014E-7	-8.81503403076422565E-2
1.91500000000000026E-7	-9.86548308529251017E-2
1.91999999999999993E-7	-1.19610687721938747E-1
1.92500000000000004E-7	-1.50349341242303147E-1
1.93000000000000060E-7	-1.88841194707597393E-1
1.93500000000000050E-7	-2.31846949733880558E-1
1.93999999999999995E-7	-2.75204691927084699E-1
1.94499999999999984E-7	-3.14232822300036574E-1
1.95000000000000018E-7	-3.44258194380822058E-1
1.95500000000000007E-7	-3.60942305095173710E-1
1.95999999999999996E-7	-3.60862975393931906E-1
1.96500000000000008E-7	-3.41894934986360699E-1
1.97000000000000020E-7	-3.03492498325084448E-1
1.97500000000000031E-7	-2.46824491298012605E-1
1.97999999999999976E-7	-1.74743647756581311E-1
1.98500000000000010E-7	-9.15891850398610785E-2
1.99000000000000021E-7	-2.83819429409174973E-3
1.99499999999999988E-7	8.53805690010998042E-2
2.00000000000000044E-7	1.66991851494151966E-1
2.00499999999999989E-7	2.36092661179599572E-1
2.01000000000000023E-7	2.87770629412010859E-1
2.01500000000000012E-7	3.18530632254108426E-1
2.02000000000000002E-7	3.26631109220930504E-1
2.02500000000000036E-7	3.12260324364540942E-1
