time	real(VoutPA[1])
4.94999999999999929E-8	2.16781562031112296E-1
5.00000000000000089E-8	2.26899908182143273E-1
5.04999999999999982E-8	2.26330630770901386E-1
5.09999999999999964E-8	2.18556634485434165E-1
5.15000000000000036E-8	2.05941921145149021E-1
5.20000000000000018E-8	1.89246559968186112E-1
5.25000000000000178E-8	1.68326610034979618E-1
5.30000000000000071E-8	1.42405040165359420E-1
5.35000000000000053E-8	1.10514164311244789E-1
5.40000000000000036E-8	7.19663112467849952E-2
5.45000000000000018E-8	2.49246265220594942E-2
5.49999999999999911E-8	-3.26218986139567013E-2
5.54999999999999893E-8	-9.24595080230431954E-2
5.60000000000000053E-8	-1.43315388889895878E-1
5.65000000000000036E-8	-1.83273915045075109E-1
5.70000000000000107E-8	-2.15691197349159847E-1
5.75000000000000000E-8	-2.43120272109501778E-1
5.79999999999999982E-8	-2.65344792828292819E-1
5.85000000000000053E-8	-2.78636490892483479E-1
5.90000000000000213E-8	-2.76352661440301128E-1
5.95000000000000107E-8	-2.54609254448514077E-1
6.00000000000000000E-8	-2.18205289440283456E-1
6.05000000000000071E-8	-1.77196858859541928E-1
6.10000000000000142E-8	-1.38375660237219256E-1
6.15000000000000124E-8	-1.03372884726415659E-1
6.20000000000000018E-8	-7.13622079838636303E-2
6.25000000000000089E-8	-4.03830290537653447E-2
6.30000000000000071E-8	-6.99949107512914370E-3
6.34999999999999964E-8	3.44291804322147765E-2
6.40000000000000036E-8	8.78835408060861845E-2
6.44999999999999929E-8	1.35031621475067753E-1
6.50000000000000000E-8	1.45249562447799985E-1
6.55000000000000071E-8	1.28880455250048231E-1
6.60000000000000053E-8	1.09447582347638672E-1
6.65000000000000036E-8	9.45023734117709147E-2
6.70000000000000018E-8	8.27677416101301233E-2
6.75000000000000000E-8	7.18102121489137168E-2
6.80000000000000160E-8	5.88888824005076117E-2
6.85000000000000053E-8	3.91820059749223004E-2
6.90000000000000036E-8	4.06836700798506357E-3
6.95000000000000107E-8	-4.80829389240962168E-2
7.00000000000000089E-8	-8.58238850462166170E-2
7.05000000000000071E-8	-9.26998948301598169E-2
7.09999999999999787E-8	-8.88841546943329952E-2
7.14999999999999947E-8	-8.78999054794672574E-2
7.20000000000000107E-8	-9.10886299567074076E-2
7.25000000000000000E-8	-9.69054895214944523E-2
7.29999999999999982E-8	-1.03997044622264867E-1
7.35000000000000142E-8	-1.10351686887409617E-1
7.40000000000000124E-8	-1.11294608936820572E-1
7.45000000000000018E-8	-9.93967117778579201E-2
7.50000000000000000E-8	-7.60139550242473927E-2
7.54999999999999982E-8	-5.76935282190220811E-2
7.60000000000000142E-8	-4.96359694388003270E-2
7.65000000000000124E-8	-4.55523349173367009E-2
7.70000000000000018E-8	-4.16974151793927472E-2
7.75000000000000000E-8	-3.78416653378603263E-2
7.80000000000000160E-8	-3.49604608355515545E-2
7.85000000000000142E-8	-3.49159581081544257E-2
7.90000000000000124E-8	-4.04366472355735596E-2
7.95000000000000107E-8	-4.93447861853180036E-2
8.00000000000000000E-8	-4.62328973214451011E-2
8.05000000000000071E-8	-2.44349451801069595E-2
8.10000000000000142E-8	3.91710905171487411E-3
8.14999999999999858E-8	3.03287458157618817E-2
8.20000000000000107E-8	5.49654047463913198E-2
8.25000000000000000E-8	8.09135061454460391E-2
8.30000000000000071E-8	1.11200830033124864E-1
8.34999999999999964E-8	1.47342573144453204E-1
8.40000000000000213E-8	1.84688890803313766E-1
8.45000000000000107E-8	2.06799980223293955E-1
8.50000000000000178E-8	1.99921922648919104E-1
8.55000000000000249E-8	1.72451980229551616E-1
8.59999999999999787E-8	1.39824972931903480E-1
8.65000000000000036E-8	1.08183351179982146E-1
8.70000000000000107E-8	7.67595179592126620E-2
8.75000000000000178E-8	4.30991671191686798E-2
8.79999999999999893E-8	4.46452855354799816E-3
8.84999999999999964E-8	-4.22750210871706322E-2
8.89999999999999858E-8	-9.92945037252589557E-2
8.95000000000000107E-8	-1.61506068942280234E-1
9.00000000000000178E-8	-2.10330646961213441E-1
9.05000000000000249E-8	-2.29642583758673879E-1
9.10000000000000320E-8	-2.24510725760191976E-1
9.15000000000000036E-8	-2.08128165658103947E-1
9.19999999999999929E-8	-1.87148150067344687E-1
9.25000000000000178E-8	-1.61577464663827008E-1
9.30000000000000071E-8	-1.27971372093216718E-1
9.35000000000000320E-8	-8.05513595466003807E-2
9.39999999999999858E-8	-1.33501992458099106E-2
9.45000000000000107E-8	6.70214291894750502E-2
9.50000000000000178E-8	1.32042405180379441E-1
9.55000000000000071E-8	1.66422204934233187E-1
9.59999999999999964E-8	1.80726315126634773E-1
9.65000000000000213E-8	1.86621602938472142E-1
9.69999999999999929E-8	1.87891279877536865E-1
9.75000000000000000E-8	1.83525278963521443E-1
9.80000000000000071E-8	1.69493247214554188E-1
9.85000000000000142E-8	1.38595551755392465E-1
9.89999999999999858E-8	8.57514904275105749E-2
9.95000000000000107E-8	2.50801224691743574E-2
1.00000000000000022E-7	-2.02965299859279114E-2
1.00500000000000012E-7	-4.80680606562205170E-2
1.01000000000000001E-7	-6.62355200905785857E-2
1.01500000000000012E-7	-7.93228946624444564E-2
1.02000000000000002E-7	-8.83008213854596313E-2
1.02500000000000013E-7	-9.27650461006902205E-2
1.03000000000000003E-7	-9.11408342454649834E-2
1.03500000000000014E-7	-7.92934810136094459E-2
1.04000000000000004E-7	-4.87607391547100733E-2
1.04499999999999993E-7	4.89432211337269241E-3
1.05000000000000027E-7	5.47561258653443872E-2
1.05500000000000016E-7	7.68919049561978518E-2
1.06000000000000005E-7	8.35328357727199311E-2
1.06499999999999995E-7	8.77763610553485307E-2
1.07000000000000006E-7	9.24528317173885128E-2
1.07499999999999973E-7	9.68867593957767781E-2
1.08000000000000007E-7	1.00316613827674717E-1
1.08500000000000063E-7	1.01806275656323875E-1
1.09000000000000008E-7	9.91115359168130361E-2
1.09500000000000020E-7	8.74496928134830220E-2
1.09999999999999987E-7	6.29215734122623971E-2
1.10500000000000020E-7	3.64860616199624044E-2
1.10999999999999988E-7	2.56829711079358214E-2
1.11499999999999999E-7	2.89565771019003870E-2
1.12000000000000011E-7	3.79021344479212052E-2
1.12500000000000022E-7	4.91404646489968222E-2
1.13000000000000012E-7	6.25190971546036600E-2
1.13500000000000023E-7	7.82848380306646341E-2
1.14000000000000012E-7	9.62465823070107795E-2
1.14500000000000002E-7	1.15592182672660471E-1
1.14999999999999991E-7	1.34696218423967817E-1
1.15500000000000025E-7	1.51085599146174898E-1
1.15999999999999992E-7	1.61714187486293870E-1
1.16500000000000004E-7	1.63850707233953852E-1
1.17000000000000015E-7	1.56037805913290883E-1
1.17499999999999982E-7	1.38410448119852592E-1
1.18000000000000038E-7	1.12213457270104922E-1
1.18500000000000005E-7	7.92344063573712631E-2
1.19000000000000017E-7	4.18642007117505788E-2
1.19499999999999984E-7	3.68972638312731060E-3
1.19999999999999996E-7	-3.03414047278890742E-2
1.20499999999999963E-7	-5.52251773375955235E-2
1.21000000000000019E-7	-6.77408304365895830E-2
1.21499999999999986E-7	-6.71610904987786306E-2
1.22000000000000020E-7	-5.43299547576714836E-2
1.22500000000000031E-7	-3.05257264863965139E-2
1.23000000000000020E-7	2.92018557270460377E-3
1.23499999999999988E-7	4.43449527801010301E-2
1.23999999999999999E-7	9.12876241516432074E-2
1.24500000000000033E-7	1.40268273211498484E-1
1.25000000000000022E-7	1.87064145345045718E-1
1.25499999999999989E-7	2.27613045440322193E-1
1.26000000000000023E-7	2.58963446234402106E-1
1.26499999999999968E-7	2.79594417284278318E-1
1.27000000000000002E-7	2.89147816330766272E-1
1.27499999999999991E-7	2.88149062378346743E-1
1.28000000000000003E-7	2.77723696374482421E-1
1.28500000000000036E-7	2.59521524821706029E-1
1.28999999999999981E-7	2.35793976026557539E-1
1.29499999999999993E-7	2.08952392868750714E-1
1.30000000000000004E-7	1.80776792780222850E-1
