time	imag(VoutPA[1])
1.02500000000000013E-7	2.89379904931702381E-1
1.03000000000000003E-7	2.51557203552372055E-1
1.03500000000000014E-7	1.90466968498975064E-1
1.04000000000000004E-7	1.00268189055768664E-1
1.04499999999999993E-7	-1.67565391210812176E-2
1.05000000000000027E-7	-1.36467432682899359E-1
1.05500000000000016E-7	-2.27128633092404986E-1
1.06000000000000005E-7	-2.80618788191068713E-1
1.06499999999999995E-7	-3.06949989094002662E-1
1.07000000000000006E-7	-3.15297186361552084E-1
1.07499999999999973E-7	-3.09353063469543255E-1
1.08000000000000007E-7	-2.89067180533366885E-1
1.08500000000000063E-7	-2.51917520005216566E-1
1.09000000000000008E-7	-1.93586321445145115E-1
1.09500000000000020E-7	-1.09802800432730185E-1
1.09999999999999987E-7	-3.15634934496269937E-3
1.10500000000000020E-7	1.07062521231173413E-1
1.10999999999999988E-7	1.95082622319719823E-1
1.11499999999999999E-7	2.51798251996677980E-1
1.12000000000000011E-7	2.83416739403126128E-1
1.12500000000000022E-7	2.97946244478678013E-1
1.13000000000000012E-7	2.99970820513119119E-1
1.13500000000000023E-7	2.91453962748251172E-1
1.14000000000000012E-7	2.73165665299883997E-1
1.14500000000000002E-7	2.45580782933302233E-1
1.14999999999999991E-7	2.09615524286058719E-1
1.15500000000000025E-7	1.67058462685762055E-1
1.15999999999999992E-7	1.21079833589973496E-1
1.16500000000000004E-7	7.61090836158587525E-2
1.17000000000000015E-7	3.69268639097070972E-2
1.17499999999999982E-7	7.37992387247401016E-3
1.18000000000000038E-7	-1.03671077859246874E-2
1.18500000000000005E-7	-1.57022015172696827E-2
1.19000000000000017E-7	-9.05302255222128949E-3
1.19499999999999984E-7	8.39557051553630806E-3
1.19999999999999996E-7	3.44616153864554198E-2
1.20499999999999963E-7	6.58227007955327892E-2
1.21000000000000019E-7	9.84106422307561601E-2
1.21499999999999986E-7	1.28601570431362000E-1
1.22000000000000020E-7	1.53962657855447138E-1
1.22500000000000031E-7	1.73019265436067493E-1
1.23000000000000020E-7	1.84603831656443806E-1
1.23499999999999988E-7	1.87410564701783078E-1
1.23999999999999999E-7	1.80014368630344035E-1
1.24500000000000033E-7	1.61355714905135850E-1
1.25000000000000022E-7	1.31437282413630840E-1
1.25499999999999989E-7	9.15420638722055990E-2
1.26000000000000023E-7	4.39753874498167097E-2
1.26499999999999968E-7	-8.43549555711255827E-3
1.27000000000000002E-7	-6.26627568286612391E-2
1.27499999999999991E-7	-1.16016203530103135E-1
1.28000000000000003E-7	-1.66458130505323831E-1
1.28500000000000036E-7	-2.12171911371373989E-1
1.28999999999999981E-7	-2.51317530514997234E-1
1.29499999999999993E-7	-2.82595255826004488E-1
1.30000000000000004E-7	-3.05663010372324440E-1
