VGS,VDS,DC_IDS_i_0____
-2,1,2.36233403970286e-09
-2,1.01,2.36234403970286e-09
-2,1.02,2.36235403970286e-09
-2,1.03,2.36236403970286e-09
-2,1.04,2.36237403970286e-09
-2,1.05,2.36238403970286e-09
-2,1.06,2.36239403970286e-09
-2,1.07,2.36240403970286e-09
-2,1.08,2.36241403970286e-09
-2,1.09,2.36242403970286e-09
-2,1.1,2.36243403970286e-09
-2,1.11,2.36244403970286e-09
-2,1.12,2.36245403970286e-09
-2,1.13,2.36246403970286e-09
-2,1.14,2.36247403970286e-09
-2,1.15,2.36248403970286e-09
-2,1.16,2.36249403970286e-09
-2,1.17,2.36250403970286e-09
-2,1.18,2.36251403970286e-09
-2,1.19,2.36252403970286e-09
-2,1.2,2.36253403970286e-09
-2,1.21,2.36254403970286e-09
-2,1.22,2.36255403970286e-09
-2,1.23,2.36256403970286e-09
-2,1.24,2.36257403970286e-09
-2,1.25,2.36258403970286e-09
-2,1.26,2.36259403970286e-09
-2,1.27,2.36260403970286e-09
-2,1.28,2.36261403970286e-09
-2,1.29,2.36262403970286e-09
-2,1.3,2.36263403970286e-09
-2,1.31,2.36264403970286e-09
-2,1.32,2.36265403970286e-09
-2,1.33,2.36266403970286e-09
-2,1.34,2.36267403970286e-09
-2,1.35,2.36268403970286e-09
-2,1.36,2.36269403970286e-09
-2,1.37,2.36270403970286e-09
-2,1.38,2.36271403970286e-09
-2,1.39,2.36272403970286e-09
-2,1.4,2.36273403970286e-09
-2,1.41,2.36274403970286e-09
-2,1.42,2.36275403970286e-09
-2,1.43,2.36276403970286e-09
-2,1.44,2.36277403970286e-09
-2,1.45,2.36278403970286e-09
-2,1.46,2.36279403970286e-09
-2,1.47,2.36280403970286e-09
-2,1.48,2.36281403970286e-09
-2,1.49,2.36282403970286e-09
-2,1.5,2.36283403970286e-09
-2,1.51,2.36284403970286e-09
-2,1.52,2.36285403970286e-09
-2,1.53,2.36286403970286e-09
-2,1.54,2.36287403970286e-09
-2,1.55,2.36288403970286e-09
-2,1.56,2.36289403970286e-09
-2,1.57,2.36290403970286e-09
-2,1.58,2.36291403970286e-09
-2,1.59,2.36292403970286e-09
-2,1.6,2.36293403970286e-09
-2,1.61,2.36294403970286e-09
-2,1.62,2.36295403970286e-09
-2,1.63,2.36296403970286e-09
-2,1.64,2.36297403970286e-09
-2,1.65,2.36298403970286e-09
-2,1.66,2.36299403970286e-09
-2,1.67,2.36300403970286e-09
-2,1.68,2.36301403970286e-09
-2,1.69,2.36302403970286e-09
-2,1.7,2.36303403970286e-09
-2,1.71,2.36304403970286e-09
-2,1.72,2.36305403970286e-09
-2,1.73,2.36306403970286e-09
-2,1.74,2.36307403970286e-09
-2,1.75,2.36308403970286e-09
-2,1.76,2.36309403970286e-09
-2,1.77,2.36310403970286e-09
-2,1.78,2.36311403970286e-09
-2,1.79,2.36312403970286e-09
-2,1.8,2.36313403970286e-09
-2,1.81,2.36314403970286e-09
-2,1.82,2.36315403970286e-09
-2,1.83,2.36316403970286e-09
-2,1.84,2.36317403970286e-09
-2,1.85,2.36318403970286e-09
-2,1.86,2.36319403970286e-09
-2,1.87,2.36320403970286e-09
-2,1.88,2.36321403970286e-09
-2,1.89,2.36322403970286e-09
-2,1.9,2.36323403970286e-09
-2,1.91,2.36324403970286e-09
-2,1.92,2.36325403970286e-09
-2,1.93,2.36326403970286e-09
-2,1.94,2.36327403970286e-09
-2,1.95,2.36328403970286e-09
-2,1.96,2.36329403970286e-09
-2,1.97,2.36330403970286e-09
-2,1.98,2.36331403970286e-09
-2,1.99,2.36332403970286e-09
-2,2,2.36333403970286e-09
-2,2.01,2.36334403970286e-09
-2,2.02,2.36335403970286e-09
-2,2.03,2.36336403970286e-09
